Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
CStone Pharmaceuticals,Suzhou,China,2015,https://www.cstonepharma.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,0,,3
CureMeta,Boston,United States,2012,https://www.curemeta.com/,Private,Startup,Antibody Developer,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Cytoguide ApS,Copenhagen,Denmark,2015,https://www.cytoguide.com/,Private,Startup,Antibody Developer,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Debiopharm,Lausanne,Switzerland,1979,https://www.debiopharm.com/,Private,Established,-,-,1,0,0,1,0,0,0,0,0,0,0,1,IMMUNOGEN,0
Emergence,Duisberg,Germany,2019,https://www.emergencebio.com/,Acquired,Startup,ADC Platform Technology,Acquired by Lilly in 2023,1,1,0,0,0,0,0,0,0,0,0,0,,0
Esperance,Waltham,United States,2015,https://www.esperancepharma.com/,Private,Startup,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,0,,0
Exelixis,Alameda,United States,1994,https://www.exelixis.com/,Public,Established,-,-,1,0,1,0,0,0,0,2,2,0,0,2,Iconic | Zymeworks,9
Fortis Therapeutics,San Diego,United States,2020,https://fortistx.com/,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,3,2,1,0,0,,1
Fusion Pharmaceuticals Inc,Hamilton,Canada,2014,https://fusionpharma.com/,Public,Startup,Antibody Developer,-,1,0,0,1,0,0,0,1,1,0,0,1,AstraZeneca,2
GamaMabs,Toulouse,France,2008,https://www.gamamabs.com/,Private,Startup,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,0,,0
Genzyme,Cambridge,United States,1981,https://www.sanofi.com/,Acquired,Established,-,Acquired by Sanofi in 2011,1,1,0,0,0,0,0,0,0,0,0,0,,0
Georgetown Translational (Oxis Biotech),Los Angeles,United States,2015,https://www.oxisbiotech.com/,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,0,,1
GILEAD,Foster City,United States,1987,https://www.gilead.com,Public,Established,-,-,1,0,0,0,0,1,0,62,10,39,13,25,"Novartis | Alliance Foundation Trials | UNICANCER | Varian Inc | EMD Serono | MFAR | Merck KGaA, Darmstadt, Germany | Arcus | Nektar Therapeutics | Eisai | NSABP Foundation | Roche | Array BioPharma | Seagen | Merck Sharp & Dohme | MedSIR | Pfizer | Paxman Coolers Limited | AstraZeneca | DAIICHI SANKYO | GOG Foundation | Bristol Myers Squibb | Immunomedics | Strata Oncology | Astellas",46
Halozyme,San Diego,United States,1998,https://www.halozyme.com/,Public,Established,ADC Platform Technology,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
"Hangzhou DAC Biotechnology Co., Ltd",Hangzhou,China,2015,https://www.dacbio.com/,Private,Startup,ADC Platform Technology,-,1,0,1,0,0,0,0,1,1,0,0,0,,0
Helix BioPharma,Aurora,Canada,1994,https://www.helixbiopharma.com/,Public,Established,Antibody Developer,-,1,0,0,0,1,0,0,3,0,2,1,2,Pharm-Olam International | Theradex,2
